id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_usaha,proyeksi_jumlah_umkm,satuan,tahun
188,32.0,JAWA BARAT,3271,KOTA BOGOR,MAKANAN,24014,UNIT,2017
189,32.0,JAWA BARAT,3271,KOTA BOGOR,MINUMAN,4455,UNIT,2017
190,32.0,JAWA BARAT,3271,KOTA BOGOR,JASA/LAINNYA,10374,UNIT,2017
191,32.0,JAWA BARAT,3272,KOTA SUKABUMI,AKSESORIS,99,UNIT,2017
192,32.0,JAWA BARAT,3272,KOTA SUKABUMI,BATIK,99,UNIT,2017
193,32.0,JAWA BARAT,3272,KOTA SUKABUMI,BORDIR,14,UNIT,2017
194,32.0,JAWA BARAT,3272,KOTA SUKABUMI,CRAFT,3530,UNIT,2017
195,32.0,JAWA BARAT,3272,KOTA SUKABUMI,FASHION,3445,UNIT,2017
196,32.0,JAWA BARAT,3272,KOTA SUKABUMI,KONVEKSI,2104,UNIT,2017
197,32.0,JAWA BARAT,3272,KOTA SUKABUMI,KULINER,15192,UNIT,2017
198,32.0,JAWA BARAT,3272,KOTA SUKABUMI,MAKANAN,11112,UNIT,2017
199,32.0,JAWA BARAT,3272,KOTA SUKABUMI,MINUMAN,2061,UNIT,2017
200,32.0,JAWA BARAT,3272,KOTA SUKABUMI,JASA/LAINNYA,4800,UNIT,2017
201,32.0,JAWA BARAT,3273,KOTA BANDUNG,AKSESORIS,850,UNIT,2017
202,32.0,JAWA BARAT,3273,KOTA BANDUNG,BATIK,850,UNIT,2017
203,32.0,JAWA BARAT,3273,KOTA BANDUNG,BORDIR,121,UNIT,2017
204,32.0,JAWA BARAT,3273,KOTA BANDUNG,CRAFT,30364,UNIT,2017
205,32.0,JAWA BARAT,3273,KOTA BANDUNG,FASHION,29635,UNIT,2017
206,32.0,JAWA BARAT,3273,KOTA BANDUNG,KONVEKSI,18097,UNIT,2017
207,32.0,JAWA BARAT,3273,KOTA BANDUNG,KULINER,130687,UNIT,2017
208,32.0,JAWA BARAT,3273,KOTA BANDUNG,MAKANAN,95586,UNIT,2017
209,32.0,JAWA BARAT,3273,KOTA BANDUNG,MINUMAN,17733,UNIT,2017
210,32.0,JAWA BARAT,3273,KOTA BANDUNG,JASA/LAINNYA,41295,UNIT,2017
211,32.0,JAWA BARAT,3274,KOTA CIREBON,AKSESORIS,99,UNIT,2017
212,32.0,JAWA BARAT,3274,KOTA CIREBON,BATIK,99,UNIT,2017
213,32.0,JAWA BARAT,3274,KOTA CIREBON,BORDIR,14,UNIT,2017
214,32.0,JAWA BARAT,3274,KOTA CIREBON,CRAFT,3551,UNIT,2017
215,32.0,JAWA BARAT,3274,KOTA CIREBON,FASHION,3466,UNIT,2017
216,32.0,JAWA BARAT,3274,KOTA CIREBON,KONVEKSI,2116,UNIT,2017
217,32.0,JAWA BARAT,3274,KOTA CIREBON,KULINER,15284,UNIT,2017
218,32.0,JAWA BARAT,3274,KOTA CIREBON,MAKANAN,11179,UNIT,2017
219,32.0,JAWA BARAT,3274,KOTA CIREBON,MINUMAN,2074,UNIT,2017
220,32.0,JAWA BARAT,3274,KOTA CIREBON,JASA/LAINNYA,4830,UNIT,2017
221,32.0,JAWA BARAT,3275,KOTA BEKASI,AKSESORIS,502,UNIT,2017
222,32.0,JAWA BARAT,3275,KOTA BEKASI,BATIK,502,UNIT,2017
223,32.0,JAWA BARAT,3275,KOTA BEKASI,BORDIR,72,UNIT,2017
224,32.0,JAWA BARAT,3275,KOTA BEKASI,CRAFT,17926,UNIT,2017
225,32.0,JAWA BARAT,3275,KOTA BEKASI,FASHION,17496,UNIT,2017
226,32.0,JAWA BARAT,3275,KOTA BEKASI,KONVEKSI,10684,UNIT,2017
227,32.0,JAWA BARAT,3275,KOTA BEKASI,KULINER,77156,UNIT,2017
228,32.0,JAWA BARAT,3275,KOTA BEKASI,MAKANAN,56433,UNIT,2017
229,32.0,JAWA BARAT,3275,KOTA BEKASI,MINUMAN,10469,UNIT,2017
230,32.0,JAWA BARAT,3275,KOTA BEKASI,JASA/LAINNYA,24380,UNIT,2017
231,32.0,JAWA BARAT,3276,KOTA DEPOK,AKSESORIS,401,UNIT,2017
232,32.0,JAWA BARAT,3276,KOTA DEPOK,BATIK,401,UNIT,2017
233,32.0,JAWA BARAT,3276,KOTA DEPOK,BORDIR,57,UNIT,2017
234,32.0,JAWA BARAT,3276,KOTA DEPOK,CRAFT,14336,UNIT,2017
235,32.0,JAWA BARAT,3276,KOTA DEPOK,FASHION,13992,UNIT,2017
236,32.0,JAWA BARAT,3276,KOTA DEPOK,KONVEKSI,8544,UNIT,2017
237,32.0,JAWA BARAT,3276,KOTA DEPOK,KULINER,61703,UNIT,2017
238,32.0,JAWA BARAT,3276,KOTA DEPOK,MAKANAN,45130,UNIT,2017
239,32.0,JAWA BARAT,3276,KOTA DEPOK,MINUMAN,8372,UNIT,2017
240,32.0,JAWA BARAT,3276,KOTA DEPOK,JASA/LAINNYA,19497,UNIT,2017
241,32.0,JAWA BARAT,3277,KOTA CIMAHI,AKSESORIS,141,UNIT,2017
242,32.0,JAWA BARAT,3277,KOTA CIMAHI,BATIK,141,UNIT,2017
243,32.0,JAWA BARAT,3277,KOTA CIMAHI,BORDIR,20,UNIT,2017
244,32.0,JAWA BARAT,3277,KOTA CIMAHI,CRAFT,5024,UNIT,2017
245,32.0,JAWA BARAT,3277,KOTA CIMAHI,FASHION,4904,UNIT,2017
246,32.0,JAWA BARAT,3277,KOTA CIMAHI,KONVEKSI,2994,UNIT,2017
247,32.0,JAWA BARAT,3277,KOTA CIMAHI,KULINER,21624,UNIT,2017
248,32.0,JAWA BARAT,3277,KOTA CIMAHI,MAKANAN,15816,UNIT,2017
249,32.0,JAWA BARAT,3277,KOTA CIMAHI,MINUMAN,2934,UNIT,2017
250,32.0,JAWA BARAT,3277,KOTA CIMAHI,JASA/LAINNYA,6833,UNIT,2017
251,32.0,JAWA BARAT,3278,KOTA TASIKMALAYA,AKSESORIS,225,UNIT,2017
252,32.0,JAWA BARAT,3278,KOTA TASIKMALAYA,BATIK,225,UNIT,2017
253,32.0,JAWA BARAT,3278,KOTA TASIKMALAYA,BORDIR,32,UNIT,2017
254,32.0,JAWA BARAT,3278,KOTA TASIKMALAYA,CRAFT,8044,UNIT,2017
255,32.0,JAWA BARAT,3278,KOTA TASIKMALAYA,FASHION,7851,UNIT,2017
256,32.0,JAWA BARAT,3278,KOTA TASIKMALAYA,KONVEKSI,4794,UNIT,2017
257,32.0,JAWA BARAT,3278,KOTA TASIKMALAYA,KULINER,34620,UNIT,2017
258,32.0,JAWA BARAT,3278,KOTA TASIKMALAYA,MAKANAN,25322,UNIT,2017
259,32.0,JAWA BARAT,3278,KOTA TASIKMALAYA,MINUMAN,4698,UNIT,2017
260,32.0,JAWA BARAT,3278,KOTA TASIKMALAYA,JASA/LAINNYA,10940,UNIT,2017
261,32.0,JAWA BARAT,3279,KOTA BANJAR,AKSESORIS,64,UNIT,2017
262,32.0,JAWA BARAT,3279,KOTA BANJAR,BATIK,64,UNIT,2017
263,32.0,JAWA BARAT,3279,KOTA BANJAR,BORDIR,9,UNIT,2017
264,32.0,JAWA BARAT,3279,KOTA BANJAR,CRAFT,2286,UNIT,2017
265,32.0,JAWA BARAT,3279,KOTA BANJAR,FASHION,2231,UNIT,2017
266,32.0,JAWA BARAT,3279,KOTA BANJAR,KONVEKSI,1363,UNIT,2017
267,32.0,JAWA BARAT,3279,KOTA BANJAR,KULINER,9840,UNIT,2017
268,32.0,JAWA BARAT,3279,KOTA BANJAR,MAKANAN,7197,UNIT,2017
269,32.0,JAWA BARAT,3279,KOTA BANJAR,MINUMAN,1335,UNIT,2017
270,32.0,JAWA BARAT,3279,KOTA BANJAR,JASA/LAINNYA,3109,UNIT,2017
271,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,AKSESORIS,984,UNIT,2018
272,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,BATIK,984,UNIT,2018
273,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,BORDIR,141,UNIT,2018
274,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,CRAFT,35159,UNIT,2018
275,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,FASHION,34315,UNIT,2018
276,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,KONVEKSI,20955,UNIT,2018
277,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,KULINER,151325,UNIT,2018
278,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,MAKANAN,110681,UNIT,2018
279,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,MINUMAN,20533,UNIT,2018
